service,department,registers
E-petitions,Parliamentary Digital Service,"Country"
GOV.UK Pay,Cabinet Office,"Country, Territory"
Realtime Flood Monitoring,Environment Agency,"Local Authority England"
Transparency In Supply Chains,TISCReport,"Local Authority England, Local Authority Scotland, Principal Local Authority, Government Organisation"
MapIt,MySociety,"Local Authority England, Local Authority Scotland, Principal Local Authority"
Civil Service Jobs,Civil Service Human Resources,"Country"
AppGov,AppGov,"Country,Local Authority England, Local Authority Scotland, Principal Local Authority"
https://olib.uk/charity,CharityData,"Local Authority England, Local Authority Scotland, Principal Local Authority"
Org-ID,org-id.guide,"Government Organisation"
Defence Academy,MOD,"Country"
